event_external_id,title,location ,location_external_id,start_date,end_date,event_type,description,banner_image,design_template_external_id
EVT-SE10-B28,Makha Bucha Day Ceremony,Wat Buddharama,SE10-B28,2026-02-01,2026-02-01,Religious Ceremony,Thai Buddhist community gathering for Makha Bucha Day,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-SE.png,
EVT-DE07-B29,Thai New Year Songkran Festival,Thai Cultural Center Berlin,DE07-B29,2026-04-13,2026-04-15,Market/Food Festival,Traditional Thai New Year celebration with water blessing and food stalls,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-DE.png,
EVT-FR02-B30,Thai New Year Songkran Festival,Parc de Choisy,FR02-B30,2026-04-13,2026-04-15,Market/Food Festival,Songkran festival hosted by Thai community in Paris,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-FR.png,
EVT-NL01-B31,Thai Food & Culture Fair,Thai Community NL,NL01-B31,2026-03-20,2026-03-21,Market/Food Festival,Weekend fair featuring Thai food music and crafts,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-NL.png,
EVT-UK05-B32,Loy Krathong Festival,Wat Buddhapadipa,UK05-B32,2026-11-05,2026-11-05,Market/Food Festival,Traditional Loy Krathong floating lantern ceremony,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-UK.png,
EVT-SE11-B33,Loy Krathong Festival,Wat Buddharama,SE11-B33,2026-11-05,2026-11-05,Market/Food Festival,Loy Krathong celebration with prayers and cultural activities,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-SE.png,
EVT-BE01-B34,Thai Cultural Day,Thai Embassy Brussels,BE01-B34,2026-03-10,2026-03-10,Community Event,Thai cultural exhibition and performances,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-BE.png,
EVT-DE08-B35,Thai Community Networking Night,Thai Association Frankfurt,DE08-B35,2026-02-18,2026-02-18,Community Event,Community meetup for Thai residents in Germany,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-DE.png,
EVT-DK03-B36,Muay Thai Cultural Showcase,Local Sports Hall,DK03-B36,2026-03-05,2026-03-05,Community Event,Muay Thai demonstration and cultural introduction,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-DK.png,
EVT-SE12-B37,Meditation & Mindfulness Retreat,Thai Buddhist Center,SE12-B37,2026-01-25,2026-01-26,Community Event,Weekend meditation retreat guided by Thai monks,https://pub-2a72cfdc56dc408cbaa236e02a09710b.r2.dev/society/event/community_event-SE.png,
